,address_type,agency,agency_name,borough,bridge_highway_direction,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
0,,DOT,Department of Transportation,MANHATTAN,,,2005-06-14T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-06-14T00:00:00.000,,,Unsafe Worksite,N/A,,,MULBERRY STREET,MOSCO ST,,Street,MANHATTAN,Unspecified,2005-06-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,59761
1,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2005-12-27T00:00:00.000,,,Wear & Tear,N/A,,,WASHINGTON AVE,PARK AVE,,,BROOKLYN,Unspecified,2005-12-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3509709
2,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-01-29T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-28T00:00:00.000,,,Pothole,N/A,,,BEVERLY ROAD,FLATBUSH AVENUE,,,BROOKLYN,Unspecified,2005-01-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3495585
3,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-01-31T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-30T00:00:00.000,5 STREET,NORTH PORTLAND AVENUE,Pothole,N/A, FLUSHING AVENUE,,,,,,BROOKLYN,Unspecified,2005-01-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,FLUSHING AVENUE,3493441
4,INTERSECTION,DOT,Department of Transportation,BRONX,,,2005-11-28T00:00:00.000,Unspecified BRONX,Street Condition,2005-11-28T00:00:00.000,,,Pothole,N/A,,,CLAREMONT PARKWAY,CLAY AVENUE,,,BRONX,Unspecified,2005-11-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3632471
5,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,,15 BROOKLYN,Street Condition,2005-11-28T00:00:00.000,EAST 16 STREET,SHEEPSHEAD BAY ROAD,Wear & Tear,N/A, SHORE PARKWAY,11235,,,,,BROOKLYN,Unspecified,2005-11-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,SHORE PARKWAY,3509560
6,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2005-06-15T00:00:00.000,MAUJER STREET,SCHOLES STREET,Wear & Tear,N/A, MANHATTAN AVENUE,,,,,,BROOKLYN,Unspecified,2005-06-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,MANHATTAN AVENUE,3506422
7,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-11-23T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-11-22T00:00:00.000,,,Pothole,N/A,,,HICKS STREET,KANE STREET,,,BROOKLYN,Unspecified,2005-11-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3510506
8,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2005-03-30T00:00:00.000,08 MANHATTAN,Street Condition,2005-03-29T00:00:00.000,LEXINGTON AVENUE,PARK AVENUE,Pothole,N/A, EAST 72 STREET,10021,,,,,MANHATTAN,Unspecified,2005-03-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 72 STREET,3534181
9,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-04-16T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-04-15T00:00:00.000,,,Pothole,N/A,,,BROADWAY,VAN BUREN STREET,,,BROOKLYN,Unspecified,2005-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3505579
10,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2005-11-17T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-11-04T00:00:00.000,,,Pothole,N/A,,,CENTRAL PARK WEST,65 ST TRANSVERSE,,,MANHATTAN,Unspecified,2005-11-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3542007
11,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2005-11-29T00:00:00.000,,,Wear & Tear,N/A,,,16 AVENUE,54 STREET,,,BROOKLYN,Unspecified,2005-11-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3509767
12,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-12-21T00:00:00.000,17 BROOKLYN,Street Condition,2005-12-20T00:00:00.000,CLARENDON ROAD,EAST 55 STREET,Pothole,N/A, KINGS HIGHWAY,11203,,,,,BROOKLYN,Unspecified,2005-12-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,KINGS HIGHWAY,3511609
13,INTERSECTION,DOT,Department of Transportation,BRONX,,,2005-04-03T00:00:00.000,Unspecified BRONX,Street Condition,2005-04-03T00:00:00.000,,,Pothole,N/A,,,HENNESSY PLACE,WEST BURNSIDE AVENUE,,,BRONX,Unspecified,2005-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3625140
14,BLOCKFACE,DOT,Department of Transportation,STATEN ISLAND,,,2005-04-03T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2005-03-30T00:00:00.000,MC BAINE AVENUE,MASON BOULEVARD,Pothole,N/A, ALVERSON AVENUE,,,,,,STATEN ISLAND,Unspecified,2005-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ALVERSON AVENUE,3618210
15,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,,07 BROOKLYN,Street Condition,2005-08-02T00:00:00.000,4 AVENUE,5 AVENUE,Wear & Tear,N/A, 28 STREET,11232,,,,,BROOKLYN,Unspecified,2005-08-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,28 STREET,3507963
16,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-02-12T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-02-11T00:00:00.000,AUTUMN AVENUE,GLENMORE AVENUE,Pothole,N/A, CONDUIT BOULEVARD,,,,,,BROOKLYN,Unspecified,2005-02-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,CONDUIT BOULEVARD,3489818
17,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-12-30T00:00:00.000,06 BROOKLYN,Street Condition,2005-12-29T00:00:00.000,4 AVENUE,5 AVENUE,Pothole,N/A, SACKETT STREET,11217,,,,,BROOKLYN,Unspecified,2005-12-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,SACKETT STREET,3509962
