,address_type,agency,agency_name,borough,bridge_highway_direction,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
0,BLOCKFACE,DOT,Department of Transportation,QUEENS,,,2006-03-06T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-05T00:00:00.000,HORACE HARDING EXPRESSWAY,HORACE HARDING EXPRESSWAY,Pothole,,N/A, 188 STREET,,,,,,QUEENS,Unspecified,2006-03-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,188 STREET,3589065
1,,DOT,Department of Transportation,STATEN ISLAND,,,2006-03-06T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2006-03-03T00:00:00.000,RAMONA AVE,DRUMGOOLE RD W,Failed Street Repair,2006-03-13T00:00:00.000,N/A, HUGUENOT AVE,,,,,Street,STATEN ISLAND,Unspecified,2006-03-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,HUGUENOT AVE,985231
2,,DOT,Department of Transportation,QUEENS,,,2006-10-04T00:00:00.000,Unspecified QUEENS,Street Condition,2006-09-26T00:00:00.000,,,Line/Marking - Faded,2006-10-26T00:00:00.000,N/A,,,37 AVE,77 & 78 ST,,Street,QUEENS,Unspecified,2006-10-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,468062
3,BLOCKFACE,DOT,Department of Transportation,BRONX,,BRONX,2006-01-11T00:00:00.000,11 BRONX,Street Condition,2006-01-11T00:00:00.000,BRONXWOOD AVENUE,WILLIAMSBRIDGE ROAD,Pothole,,N/A, PELHAM PARKWAY,10469,,,,,BRONX,Unspecified,2006-01-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PELHAM PARKWAY,3638637
4,BLOCKFACE,DOT,Department of Transportation,Unspecified,,NEW YORK,2006-11-27T00:00:00.000,0 Unspecified,Street Condition,2006-11-20T00:00:00.000,WEST 46 STREET,WEST 47 STREET,Pothole,,N/A, 7 AVENUE,,,,,,Unspecified,Unspecified,2006-11-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,7 AVENUE,3555084
5,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-02-16T00:00:00.000,Unspecified QUEENS,Street Condition,2006-02-15T00:00:00.000,,,Pothole,,N/A,,,48 STREET,BROOKLYN QNS EXPRESSWAY,,,QUEENS,Unspecified,2006-02-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3575812
6,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-12-20T00:00:00.000,Unspecified QUEENS,Street Condition,2006-12-19T00:00:00.000,,,Pothole,,N/A,,,108 STREET,LIBERTY AVENUE,,,QUEENS,Unspecified,2006-12-20T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3604261
7,INTERSECTION,DOT,Department of Transportation,BRONX,,,2006-12-26T00:00:00.000,Unspecified BRONX,Street Condition,2006-12-26T00:00:00.000,,,Pothole,,N/A,,,RANDALL AVE,THROGS NECK EXPWY,,,BRONX,Unspecified,2006-12-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3637347
8,,DOT,Department of Transportation,BROOKLYN,,,2006-02-24T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-02-09T00:00:00.000,,,Line/Marking - Faded,2006-03-11T00:00:00.000,N/A,,,WORTMAN STREET,GEORGIA AVE,,Street,BROOKLYN,Unspecified,2006-02-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,398028
9,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-02-27T00:00:00.000,Unspecified QUEENS,Street Condition,2006-02-26T00:00:00.000,,,Pothole,,N/A,,,HILLSIDE AVENUE,SPRINGFIELD BOULEVARD,,,QUEENS,Unspecified,2006-02-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3597893
