,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
0,INTERSECTION,DOT,Department of Transportation,QUEENS,,2007-01-04T00:00:00.000,Unspecified QUEENS,Street Condition,2007-01-03T00:00:00.000,,,Pothole,,N/A,,,60 STREET,NORTHERN BOULEVARD,,,QUEENS,Unspecified,2007-01-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3601048
1,BLOCKFACE,DOT,Department of Transportation,BRONX,,2007-02-01T00:00:00.000,Unspecified BRONX,Street Condition,2007-02-01T00:00:00.000,HOLLAND AVENUE,WALLACE AVENUE,Pothole,,N/A, PELHAM PARKWAY,,,,,,BRONX,Unspecified,2007-02-01T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PELHAM PARKWAY,3643869
2,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,2007-02-16T00:00:00.000,Unspecified BROOKLYN,Street Condition,2007-02-14T00:00:00.000,58 STREET,59 STREET,Pothole,,N/A, 3 AVENUE,,,,,,BROOKLYN,Unspecified,2007-02-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,3 AVENUE,3677862
3,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2007-01-19T00:00:00.000,Unspecified BROOKLYN,Street Condition,2007-01-12T00:00:00.000,,,Pothole,,N/A,,,CADMAN PLAZA EAST,YORK STREET,,,BROOKLYN,Unspecified,2007-01-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3527817
4,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,NEW YORK,2007-01-21T00:00:00.000,02 MANHATTAN,Street Condition,2007-01-19T00:00:00.000,10 AVENUE,WASHINGTON STREET,Pothole,,N/A, GANSEVOORT STREET,10014,,,,,MANHATTAN,Unspecified,2007-01-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GANSEVOORT STREET,3554517
5,BLOCKFACE,DOT,Department of Transportation,BRONX,,2007-01-31T00:00:00.000,Unspecified BRONX,Street Condition,2007-01-31T00:00:00.000,WHITE PLAINS RD,CRUGER AVE,Pothole,,N/A, PELHAM PKWY S,,,,,,BRONX,Unspecified,2007-01-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PELHAM PKWY S,3643373
6,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,2007-03-18T00:00:00.000,Unspecified BROOKLYN,Street Condition,2007-03-17T00:00:00.000,AVENUE V,SHORE PARKWAY,Pothole,,N/A, FLATBUSH AVENUE,,,,,,BROOKLYN,Unspecified,2007-03-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,FLATBUSH AVENUE,3819732
7,INTERSECTION,DOT,Department of Transportation,QUEENS,,2007-02-07T00:00:00.000,Unspecified QUEENS,Street Condition,2007-02-06T00:00:00.000,,,Pothole,,N/A,,,27 STREET,PEARSON STREET,,,QUEENS,Unspecified,2007-02-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3610487
8,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2007-02-18T00:00:00.000,Unspecified BROOKLYN,Street Condition,2007-02-16T00:00:00.000,,,Pothole,,N/A,,,3 AVENUE,24 STREET,,,BROOKLYN,Unspecified,2007-02-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3685650
9,INTERSECTION,DOT,Department of Transportation,QUEENS,,2007-02-06T00:00:00.000,Unspecified QUEENS,Street Condition,2007-02-05T00:00:00.000,,,Pothole,,N/A,,,69 STREET,56 ROAD,,,QUEENS,Unspecified,2007-02-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3602623
